L,seed,extrm_eigval
13,61,-8.674582637362906
13,62,8.600866713252886
13,63,-8.719002524010937
13,64,8.725944083827388
13,65,-8.751218571056732
13,66,8.732265501213533
13,67,8.68371560878648
13,68,8.69769211739999
13,69,-8.710958759574517
13,70,8.599984322694862
13,71,8.711442507059056
13,72,8.71791982396988
13,73,8.73443394510851
13,74,8.7621572951882
13,75,8.766393974968803
13,76,-8.798939839958091
13,77,-8.744044259741857
13,78,-8.717060197259519
13,79,-8.671801215750383
13,80,-8.741706223637637
13,81,-8.841655327233179
13,82,-8.78361782478981
13,83,-8.647615352835361
13,84,8.693161609028024
13,85,-8.735507949797405
13,86,-8.777677645393535
13,87,8.659942449021708
13,88,-8.71562666262067
13,89,8.648304911475686
13,90,-8.664431688994652
13,91,8.725444876078512
13,92,8.783350778591615
13,93,-8.716807222774124
13,94,-8.708752200848512
13,95,-8.75835035780602
13,96,-8.692682698301459
13,97,8.794672162044185
13,98,-8.793416359919515
13,99,-8.76323875406066
14,0,8.839116947515857
14,1,-8.851896582246786
14,2,-8.890896781401043
14,3,8.856457416671947
14,4,8.894105563276481
14,5,8.99381435060475
14,6,9.011446805484221
14,7,8.889978838016205
14,8,-8.863406633913234
14,9,-8.891898753020582
14,10,-8.93485714892119
14,11,-8.885873521608103
14,12,8.876297295430838
14,13,-8.938857991607179
14,14,-8.849142468135042
14,15,-8.922127886930554
14,16,8.756727896670645
14,17,-8.9130430400946
14,18,-8.949767432073525
14,19,-8.871087070732834
14,20,8.862369669179012
14,21,8.865135637273816
14,22,-8.802914951232024
14,23,-8.852655944784317
14,24,8.935085674091768
14,25,-8.930728736722621
14,26,8.87005622079323
14,27,8.941139032622312
14,28,8.849279328769592
14,29,8.882524732574176
14,30,8.882487006643595
14,31,8.918314134319258
14,32,-8.921102816330503
14,33,-8.766937308429192
14,34,-8.865444664572495
14,35,8.844640274520396
14,36,8.875190906169179
14,37,8.964383399086577
14,38,9.002451708461386
14,39,8.810309928801544
14,40,8.910774734126985
14,41,8.894493062221413
14,42,8.94649387263434
14,43,9.018653716986488
14,44,8.9608428280998
14,45,-8.82694670462713
14,46,8.872480567990772
14,47,8.898988828646763
14,48,-8.936903289818437
14,49,-8.863945602071649
14,50,-8.849715155942455
14,51,-8.868205396123006
14,52,-8.871560101694246
14,53,-8.89092974435247
14,54,-8.911910259451732
14,55,-9.06102547584527
14,56,8.953701820579392
14,57,-8.879511938774705
14,58,-8.97660589196721
14,59,8.832576391671834
14,60,-8.882834088697484
14,61,-8.87569427512399
14,62,8.824524685796973
