L,seed,ee
18,3,5.73544273699472
18,4,5.736325685115766
18,5,5.736708861279492
18,6,5.737473179283386
18,7,5.737436843562001
18,8,5.734585503474103
18,9,5.737090316439261
18,10,5.735394378372779
18,11,5.737241361300336
18,12,5.735105825007248
18,13,5.73794621289462
18,14,5.735859052372197
18,15,5.737285616921697
18,16,5.736717450441088
18,17,5.735088477624626
18,18,5.736514952622377
18,19,5.735019380113994
20,0,6.429975291796293
20,1,6.429009890082753
20,2,6.429446146811096
20,3,6.428552799917611
20,4,6.429290631453197
20,5,6.4298838288449245
20,6,6.430155336609939
20,7,6.430013079414865
20,8,6.4292053372574225
20,9,6.428839596784853
20,10,6.4296728604072095
20,11,6.430137112868911
20,12,6.42944678248243
20,13,6.429306995747809
20,14,6.430036845613384
20,15,6.429790549990702
20,16,6.4293703162017675
20,17,6.428857645782722
20,18,6.429003320495686
20,19,6.429770572272122
22,0,7.122488234193728
22,1,7.1230840512131515
22,2,7.122833777787377
22,3,7.122749072224292
22,4,7.122099878688747
22,5,7.123158456220407
22,6,7.122737248585192
22,7,7.123028561124106
22,8,7.123175308140164
22,9,7.122798345653657
22,10,7.122938723747467
22,11,7.122873067800348
22,12,7.122957044894134
22,13,7.122441227310705
22,14,7.122784767588538
22,15,7.122988554702627
22,16,7.122888914698576
22,17,7.122545939290017
22,18,7.122877910597606
22,19,7.122886329409347
22,0,7.122488234193728
22,1,7.1230840512131515
22,2,7.122833777787377
22,3,7.122749072224292
22,4,7.122099878688747
22,5,7.123158456220407
22,6,7.122737248585192
22,7,7.123028561124106
22,8,7.123175308140164
22,9,7.122798345653657
22,10,7.122938723747467
22,11,7.122873067800348
22,12,7.122957044894134
22,13,7.122441227310705
22,14,7.122784767588538
22,15,7.122988554702627
22,16,7.122888914698576
22,17,7.122545939290017
22,18,7.122877910597606
22,19,7.122886329409347
24,0,7.815935207639948
24,1,7.815967379853604
24,2,7.816354014531816
24,3,7.816019019850377
24,4,7.816017181884433
24,5,7.816111197950177
24,6,7.816137200616072
24,7,7.815770916301338
24,8,7.816194220223549
24,9,7.816037883015455
24,10,7.816040822669995
24,11,7.815933766338864
24,12,7.816051024410004
24,13,7.81597339560572
24,14,7.815981555174159
24,15,7.816194423075789
24,16,7.816367584681858
24,17,7.816341918534323
24,18,7.8162586848265665
24,19,7.816289628911234
